"Plugin","Plugin Name","Family","Severity","IP Address","Port","MAC Address","DNS Name","NetBIOS Name","Plugin Output","Synopsis","Description","Solution","Vulnerability Priority Rating","CVSS V2 Base Score","CVSS V3 Base Score","CPE","CVE","First Discovered","Last Observed","Cross References"
"164253","Microsoft Edge (Chromium) < 104.0.1293.60 Vulnerability","Windows","High","10.200.105.231","445","e0:07:1b:f6:a1:61","arswaykm3vs5.usda.net","usda.net\ARSWAYKM3VS5","Plugin Output: 
  Path              : C:\Program Files (x86)\Microsoft\Edge\Application
  Installed version : 103.0.1264.77
  Fixed version     : 104.0.1293.60","The remote host has an web browser installed that is affected by a vulnerability","The version of Microsoft Edge installed on the remote Windows host is prior to 104.0.1293.60. It is, therefore, affected by a vulnerability as referenced in the August 17, 2022 advisory.

  - Insufficient validation of untrusted input in Intents. (CVE-2022-2856)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Microsoft Edge version 104.0.1293.60 or later.","9.4","6.8","8.8","cpe:/a:microsoft:edge","CVE-2022-2856","Sep 2, 2022 18:53:51 UTC","Sep 5, 2022 18:58:18 UTC","CISA-KNOWN-EXPLOITED #2022/09/08"
"164253","Microsoft Edge (Chromium) < 104.0.1293.60 Vulnerability","Windows","High","10.9.234.7","445","00:1d:d8:03:6e:c3","arsgcazu3ap901.edc.ds1.usda.gov","UNKNOWN\arsgcazu3ap901","Plugin Output: 
  Path              : C:\Program Files (x86)\Microsoft\Edge\Application
  Installed version : 104.0.1293.54
  Fixed version     : 104.0.1293.60","The remote host has an web browser installed that is affected by a vulnerability","The version of Microsoft Edge installed on the remote Windows host is prior to 104.0.1293.60. It is, therefore, affected by a vulnerability as referenced in the August 17, 2022 advisory.

  - Insufficient validation of untrusted input in Intents. (CVE-2022-2856)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Microsoft Edge version 104.0.1293.60 or later.","9.4","6.8","8.8","cpe:/a:microsoft:edge","CVE-2022-2856","Aug 21, 2022 04:01:53 UTC","Aug 21, 2022 04:01:53 UTC","CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.8.252.114","445","a4:4c:c8:15:24:d3","arsprmay5fprdr.usda.net","USDA\ARSPRMAY5FPRDR","Plugin Output: 
  Path              : C:\Program Files\Google\Chrome\Application
  Installed version : 91.0.4472.124
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 30, 2022 21:50:34 UTC","Aug 30, 2022 21:50:34 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.11.59","445","50:9a:4c:1c:5f:d0","arsgaahn4ki415a.usda.net","usda.net\ARSGAAHN4KI415A","Plugin Output: 
  Path              : C:\Program Files\Google\Chrome\Application
  Installed version : 103.0.5060.134
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 31, 2022 00:35:58 UTC","Aug 31, 2022 00:35:58 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.32","445","64:00:6a:64:e0:c8","arsgabyr5ftncbo.usda.net","usda.net\ARSGABYR4-M106A","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 92.0.4515.159
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.50","445","8c:ec:4b:60:97:fc","arsgabyr4-m2cot.usda.net","usda.net\ARSGABYR4-M2COT","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 98.0.4758.80
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.51","445","54:bf:64:83:96:f6","","usda.net\ARSGABYR4-M214A","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 101.0.4951.41
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.55","445","64:00:6a:65:10:9f","","usda.net\ARSGABYR4-0205A","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 102.0.5005.115
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.62","445","54:bf:64:83:98:20","arsgabyr4-0108b.usda.net","usda.net\ARSGABYR4-0108B","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 100.0.4896.127
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.63","445","8c:ec:4b:89:98:02","arsgabyr4-pmr2.usda.net","usda.net\ARSGABYR4-PMR2","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 95.0.4638.69
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.69","445","64:00:6a:65:0e:f3","","usda.net\ARSGABYR4-0120B","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 98.0.4758.80
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.158","445","e4:b9:7a:ae:d8:ed","","usda.net\ARSGABYR5-M119A","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 99.0.4844.51
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.17.204","445","b8:ca:3a:94:96:82","","usda.net\ARSGABYR4-0219B","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 101.0.4951.41
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 22:29:48 UTC","Aug 18, 2022 22:29:48 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.21.28","445","84:a9:3e:38:51:8c","arsscchs5-m149l.usda.net","usda.net\ARSSCCHS5-M149L","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 103.0.5060.134
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 18:37:42 UTC","Aug 18, 2022 18:37:42 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.21.57","445","f4:39:09:ec:25:7e","arsscchs5-m250l.usda.net","usda.net\ARSSCCHS5-M250L","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 104.0.5112.81
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 18:37:42 UTC","Aug 18, 2022 18:37:42 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.21.83","445","f8:b1:56:da:28:83","arsscchs4rm226c.usda.net","usda.net\ARSSCCHS4RM226C","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 103.0.5060.134
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 18, 2022 18:37:42 UTC","Aug 18, 2022 18:37:42 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.22.82","445","04:0e:3c:d6:e2:c9","arsscflo52tk947.usda.net","usda.net\ARSSCFLO52TK947","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 104.0.5112.81
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 19, 2022 00:01:46 UTC","Aug 19, 2022 00:01:46 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
"164155","Google Chrome < 104.0.5112.101 Multiple Vulnerabilities","Windows","Critical","10.11.24.6","445","54:bf:64:75:85:aa","","usda.net\ARSGADAW4-85AA","Plugin Output: 
  Path              : C:\Program Files (x86)\Google\Chrome\Application
  Installed version : 101.0.4951.41
  Fixed version     : 104.0.5112.101","A web browser installed on the remote Windows host is affected by multiple vulnerabilities.","The version of Google Chrome installed on the remote Windows host is prior to 104.0.5112.101. It is, therefore, affected by multiple vulnerabilities as referenced in the 2022_08_stable-channel-update-for-desktop_16 advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Upgrade to Google Chrome version 104.0.5112.101 or later.","9.4","10.0","9.8","cpe:/a:google:chrome","CVE-2022-2852,CVE-2022-2853,CVE-2022-2854,CVE-2022-2855,CVE-2022-2856,CVE-2022-2857,CVE-2022-2858,CVE-2022-2859,CVE-2022-2860,CVE-2022-2861,CVE-2022-2998","Aug 30, 2022 20:04:16 UTC","Aug 30, 2022 20:04:16 UTC","IAVA #2022-A-0332,CISA-KNOWN-EXPLOITED #2022/09/08"
